DATE,DEXJPUS
2011-05-18,81.3700
2011-05-19,81.7800
2011-05-20,81.6400
2011-05-23,81.8100
2011-05-24,82.1200
2011-05-25,81.9600
2011-05-26,81.4400
2011-05-27,80.7500
2011-05-30,.
2011-05-31,81.2900
2011-06-01,80.8200
2011-06-02,80.9800
2011-06-03,80.3800
2011-06-06,80.1900
2011-06-07,80.2100
2011-06-08,79.8700
2011-06-09,80.0700
2011-06-10,80.2600
2011-06-13,80.1600
2011-06-14,80.5000
2011-06-15,80.7100
2011-06-16,80.7000
2011-06-17,80.1000
2011-06-20,80.2600
2011-06-21,80.1500
2011-06-22,80.0600
2011-06-23,80.4500
2011-06-24,80.3200
2011-06-27,80.8900
2011-06-28,80.8500
2011-06-29,80.8000
2011-06-30,80.6400
2011-07-01,80.8100
2011-07-04,.
2011-07-05,81.1400
2011-07-06,80.9000
2011-07-07,81.2600
2011-07-08,80.6400
2011-07-11,80.3700
2011-07-12,79.5300
2011-07-13,78.9900
2011-07-14,79.1100
2011-07-15,79.0300
2011-07-18,79.1000
2011-07-19,78.9100
2011-07-20,78.7600
2011-07-21,78.4700
2011-07-22,78.4400
2011-07-25,78.3100
2011-07-26,78.0400
2011-07-27,77.9900
2011-07-28,77.8700
2011-07-29,77.1800
2011-08-01,76.8700
2011-08-02,77.1300
2011-08-03,76.8700
2011-08-04,79.0100
2011-08-05,78.4800
2011-08-08,77.5300
2011-08-09,77.1600
2011-08-10,76.4100
2011-08-11,76.6800
2011-08-12,76.7900
2011-08-15,76.7300
2011-08-16,76.7600
2011-08-17,76.4600
2011-08-18,76.5200
2011-08-19,76.4600
2011-08-22,76.7700
2011-08-23,76.5900
2011-08-24,76.7800
2011-08-25,77.3800
2011-08-26,76.6200
2011-08-29,76.9600
2011-08-30,76.7500
2011-08-31,76.5000
2011-09-01,76.8100
2011-09-02,76.7900
2011-09-05,.
2011-09-06,77.4800
2011-09-07,77.3900
2011-09-08,77.4300
2011-09-09,77.3100
2011-09-12,77.1500
2011-09-13,76.8800
2011-09-14,76.7100
2011-09-15,76.7000
2011-09-16,76.8900
2011-09-19,76.4800
2011-09-20,76.5200
2011-09-21,76.3800
2011-09-22,76.3100
2011-09-23,76.3000
2011-09-26,76.3500
2011-09-27,76.6000
2011-09-28,76.51
2011-09-29,76.6800
2011-09-30,77.0400
2011-10-03,76.6600
2011-10-04,76.8600
2011-10-05,76.8600
2011-10-06,76.6400
2011-10-07,76.7700
2011-10-10,.
2011-10-11,76.6600
2011-10-12,77.3000
2011-10-13,76.8800
2011-10-14,77.3600
2011-10-17,76.8000
2011-10-18,76.7500
2011-10-19,76.7900
2011-10-20,76.9100
2011-10-21,76.1000
2011-10-24,76.1000
2011-10-25,75.8800
2011-10-26,76.0500
2011-10-27,75.8000
2011-10-28,75.7200
2011-10-31,77.9700
2011-11-01,78.2800
2011-11-02,78.0400
2011-11-03,77.9600
2011-11-04,78.1700
2011-11-07,78.0600
2011-11-08,77.7900
2011-11-09,77.7700
2011-11-10,77.5800
2011-11-11,.
2011-11-14,77.0200
2011-11-15,76.9900
2011-11-16,77.0200
2011-11-17,76.9800
2011-11-18,76.9300
2011-11-21,76.9700
2011-11-22,77.0700
2011-11-23,77.4100
2011-11-24,.
2011-11-25,77.6600
2011-11-28,78.0500
2011-11-29,77.8600
2011-11-30,77.5800
2011-12-01,77.6000
2011-12-02,77.8800
2011-12-05,77.7700
2011-12-06,77.7300
2011-12-07,77.6900
2011-12-08,77.6700
2011-12-09,77.5800
2011-12-12,77.8700
2011-12-13,77.8600
2011-12-14,78.0800
2011-12-15,77.8700
2011-12-16,77.6500
2011-12-19,77.9600
2011-12-20,77.7600
2011-12-21,78.0000
2011-12-22,78.1300
2011-12-23,78.1300
2011-12-26,.
2011-12-27,77.8300
2011-12-28,77.9800
2011-12-29,77.7100
2011-12-30,76.9800
2012-01-02,.
2012-01-03,76.6700
2012-01-04,76.6800
2012-01-05,77.1800
2012-01-06,77.0600
2012-01-09,76.8800
2012-01-10,76.8400
2012-01-11,76.9000
2012-01-12,76.7600
2012-01-13,76.9000
2012-01-16,.
2012-01-17,76.8000
2012-01-18,76.8100
2012-01-19,77.2300
